input1,input2,class
30.50409809,40.70257977,none
31.08295353,42.3237522,none
31.32730438,44.74259715,none
49.1187337,170.0830679,thumb
39.87104212,112.4250862,none
30.90631004,41.78456653,none
30.15708872,40.70257977,none
30.30346515,40.40297019,none
29.45420174,40.5030863,none
29.3035834,40.60295556,none
29.75819215,43.3474336,none
32.58066912,82.89209854,none
38.4980519,147.29002,thumb
31.46347088,46.254189,none
29.60405378,41.00121949,none
29.35387538,40.30260537,none
29.55926251,40.70257977,thumb
29.25833215,40.35281898,none
28.45610655,40.75230055,none
28.25331839,40.75230055,none
28.30900917,40.5030863,none
28.6041955,40.85156056,none
29.97415553,41.45660382,none
29.5533416,50.94654061,none
52.2728419,176.6257343,thumb
32.95678989,61.03564532,none
30.70342,42.33202098,none
30.35868904,40.60295556,none
30.30346515,40.30260537,none
29.70858462,40.60295556,none
29.50423698,41.06397448,none
29.15218688,41.5601973,none
33.76758801,82.42845383,none
40.15719114,118.6010118,thumb
30.8058436,43.85544436,none
30.05411785,41.00487776,none
30.15377257,40.75230055,none
29.9541316,40.45305922,none
30.16206226,40.65279818,none
30.80259729,40.70626487,none
34.16284531,44.30293444,thumb
29.8672061,40.75720795,none
42.83865077,102.5285326,thumb
39.99624982,95.24599729,none
30.30346515,41.88854259,none
28.90328701,40.45305922,none
29.45420174,40.55305167,none
29.70353514,40.55305167,none
29.25320495,41.00365837,thumb
28.9542743,40.70257977,none
29.55418752,40.70257977,none
29.50932056,40.86257456,none
32.06789672,69.33361378,none
37.04659229,139.8331148,thumb
30.05411785,49.13959707,none
30.05910844,40.60295556,none
31.05398525,40.5030863,none
29.25833215,40.55305167,thumb
30.30346515,40.40297019,none
29.40408135,40.75352745,none
30,42.93250517,thumb
29.70353514,41.35516896,none
44.23460184,166.3678154,thumb
31.91786334,72.13390326,none
29.15218688,41.15154918,none
29.60405378,40.35281898,none
29.75819215,40.30260537,none
29.15218688,40.45305922,thumb
29.75315109,40.15158776,none
29.35387538,40.30260537,none
29.70353514,40.45305922,none
30.25309901,40.51049247,none
34.4615728,92.75990513,none
38.97691625,115.2436549,thumb
29.24209295,42.305437,none
29.31040771,40.15158776,none
30.15708872,40.60295556,thumb
30.30346515,40.20199,none
29.8521356,40.25232913,none
29.40408135,40.55305167,none
31.31533171,40.70626487,thumb
29.16761903,40.70257977,none
28.10693865,41.30254229,none
27.96515689,41.60648988,none
33.52909185,111.5033632,thumb
33.08322838,96.9412193,none
27.39069185,43.03080292,none
30.0208261,45.58782732,thumb
27.00555498,40.90843434,none
26.00576859,42.4523262,thumb
26.45467823,40.45305922,none
26.45467823,40.85156056,none
26.26499572,44.71520994,none
30.5450487,45.85302607,none
35.55137128,86.13768049,none
53.32166539,169.8706861,thumb
31.83080269,50.15426203,none
25.92489151,41.36242256,none
26.35811071,40.35281898,none
26.10363959,40.70626487,none
26.45467823,40.75230055,thumb
26.20686933,40.66017708,none
29.10841803,72.39336986,none
37.92492584,140.2372989,thumb
30.43846251,65.49160252,none
26.85423616,40.86991559,none
26.30399209,40.45305922,none
25.55484299,40.15158776,none
26.06242506,40.30260537,none
27.01110883,41.08588565,none
33.80310637,80.01562347,none
45.18019478,183.0139339,thumb
33.33691647,86.92122871,none
26.51980392,48.41745553,none
27.05087799,42.06780241,none
26.25357119,40.60295556,none
26.71516423,42.95113503,none
28.85567535,66.64870591,none
39.52151313,152.316611,thumb
44.02783211,68.91298862,none
32.40216042,41.10109488,none
30.90792779,40.15158776,none
28.72194283,40.35281898,none
26.51037533,40.55305167,none
26.40454506,40.70257977,none
26.40454506,41.00365837,thumb
26.20305326,40.25232913,none
27.84420945,52.92636394,none
44.47639824,129.0695549,thumb
36.61488768,84.27069479,none
27.81726083,42.28770507,none
26.56030873,40.35281898,none
26.55466061,40.55305167,none
26.10172408,40.55305167,none
26.70954885,40.4542952,none
27.05642253,40.35529705,none
27.10719462,41.42463035,none
32.34965224,55.39223772,none
45.10376924,173.6676424,thumb
34.56081596,76.80885366,none
